repunit	repunit_scenario	iter	true_repprop	reprop_posterior_mean	repu_n
Mar_Apr	All-Mar_Apr	40	1	0.97715029594694	48
Mar_Apr	All-Mar_Apr	41	1	0.983145121174785	48
Mar_Apr	All-Mar_Apr	42	1	0.975340302879309	48
Mar_Apr	All-Mar_Apr	43	1	0.937841378618372	48
Mar_Apr	All-Mar_Apr	44	1	0.892058964990502	48
Mar_Apr	All-Mar_Apr	45	1	0.973442747897098	48
Mar_Apr	All-Mar_Apr	46	1	0.976975431332914	48
Mar_Apr	All-Mar_Apr	47	1	0.933847920880389	48
Mar_Apr	All-Mar_Apr	48	1	0.94763266386831	48
Mar_Apr	All-Mar_Apr	49	1	0.982128762046661	48
Mar_Apr	All-Mar_Apr	50	1	0.953727853013945	48
Mar_Apr	All-Mar_Apr	51	1	0.970487001893962	48
Mar_Apr	All-Mar_Apr	52	1	0.957582328503084	48
Mar_Apr	All-Mar_Apr	53	1	0.951631913927061	48
Mar_Apr	All-Mar_Apr	54	1	0.982955296560009	48
Mar_Apr	All-Mar_Apr	55	1	0.968073736102829	48
Mar_Apr	All-Mar_Apr	56	1	0.969357684886939	48
Mar_Apr	All-Mar_Apr	57	1	0.925424278378649	48
Mar_Apr	All-Mar_Apr	58	1	0.977237662100448	48
Mar_Apr	All-Mar_Apr	59	1	0.943581678527079	48
Mar_Apr	All-Mar_Apr	60	1	0.984402389299342	48
Mar_Apr	All-Mar_Apr	62	1	0.963024139722771	48
Mar_Apr	All-Mar_Apr	63	1	0.849891149569841	48
Mar_Apr	All-Mar_Apr	64	1	0.981830866214083	48
Mar_Apr	All-Mar_Apr	65	1	0.98454469378118	48
Mar_Apr	All-Mar_Apr	66	1	0.966010403861357	48
Mar_Apr	All-Mar_Apr	67	1	0.982397260700866	48
Mar_Apr	All-Mar_Apr	68	1	0.967429931100158	48
Mar_Apr	All-Mar_Apr	69	1	0.977281801149983	48
Mar_Apr	All-Mar_Apr	71	1	0.983130323772118	48
Mar_Apr	All-Mar_Apr	72	1	0.924738294287085	48
Mar_Apr	All-Mar_Apr	73	1	0.949253683692604	48
Mar_Apr	All-Mar_Apr	74	1	0.96121056706715	48
Mar_Apr	All-Mar_Apr	75	1	0.956308946058054	48
Mar_Apr	All-Mar_Apr	76	1	0.944848601968366	48
Mar_Apr	All-Mar_Apr	77	1	0.983402901301388	48
Mar_Apr	All-Mar_Apr	78	1	0.875866428884026	48
